Company,Website,Career Link
Allica Bank,http://www.allica.bank,https://www.allica.bank/careers?hsLang=en
Funding Circle UK,http://www.fundingcircle.com,
Currencycloud,http://www.currencycloud.com,https://www.currencycloud.com/company/careers/
Rathbones Group Plc,http://www.rathbones.com,https://www.rathbones.com/vacancies
British Business Bank,http://www.british-business-bank.co.uk,https://www.british-business-bank.co.uk/about-us/careers/
LendInvest (LSE: LINV),http://www.lendinvest.com,https://www.lendinvest.com/careers/
Zopa,http://www.zopa.com,https://careers.zopa.com/
"Vocalink, a Mastercard company",http://www.vocalink.com,https://www.vocalink.com/about/careers/
Octopus Investments,http://www.octopusinvestments.com,https://octopusgroup.com/careers/
iwoca,http://www.iwoca.co.uk,https://www.iwoca.co.uk/careers
FE fundinfo,http://www.fefundinfo.com,https://www.fefundinfo.com/en-gb/careers/
LCH,http://www.lch.com,https://www.lch.com/about-us/careers
Checkout.com,http://www.checkout.com,https://www.checkout.com/careers
AJ Bell,http://www.ajbell.co.uk,https://www.ajbell.co.uk/articles/investmentarticles/265213/jobs-data-lowers-us-rate-hike-expectations-asian-shares-rally
M&G Investments,http://www.mandg.com,https://www.mandg.com/careers
Hargreaves Lansdown,http://www.hl.co.uk,https://www.hargreaveslansdownjobs.co.uk/
ClearScore,http://www.clearscore.com,
CMC Markets,http://www.cmcmarkets.com,https://www.cmcmarkets.com/careers/
Ebury,http://www.ebury.com,https://careers.ebury.com/
London Metal Exchange,http://www.lme.com,
Diligenta - a subsidiary of Tata Consultancy Services,http://www.diligenta.co.uk,https://www.diligentacareers.co.uk/
BlueBay Asset Management,http://www.rbcbluebay.com,https://www.rbcbluebay.com/en/corporate/careers/
WorldRemit,http://www.worldremit.com,https://zepzpay.com/careers
British International Investment,http://www.bii.co.uk,https://www.bii.co.uk/en/about/careers/
Ninety One,http://www.ninetyone.com,https://www.ninetyone.com/en/international/careers
Huntswood,http://www.huntswood.com,https://recruitment.huntswood.com/
Barnett Waddingham,http://www.barnett-waddingham.co.uk,https://www.barnett-waddingham.co.uk/careers/
Nutmeg,http://www.nutmeg.com,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1002/requisitions?keyword=%23nutmeg&mode=location
PayPoint plc,http://www.paypoint.com,https://corporate.paypoint.com/careers/why
Wirex,http://www.wirexapp.com,
GoHenry,http://www.gohenry.com,https://www.gohenry.com/uk/careers/
LCP,http://www.lcp.com,https://careers.lcp.com
Paragon Banking Group PLC,http://www.paragonbank.co.uk,https://www.paragonbankinggroup.co.uk/careers
The Openwork Partnership,http://www.theopenworkpartnership.com,https://www.theopenworkpartnership.com/join-us/careers-at-the-openwork-partnership/
Interactive Investor,http://www.ii.co.uk,https://careers.ii.co.uk/
BlueCrest Capital Management,http://www.bluecrestcapital.com,
Modulr,http://www.modulrfinance.com,https://www.modulrfinance.com/careers#open-roles
Salary Finance,http://www.salaryfinance.com,https://boards.greenhouse.io/salaryfinance
Unlimint,http://www.unlimit.com,https://www.unlimit.com/careers/
Tilney Group,http://www.tilney.co.uk,https://www.tilney.co.uk/careers/
Tandem Bank,http://www.tandem.co.uk,https://www.tandem.co.uk/careers
BGL Insurance,http://www.bglinsurance.co.uk,https://www.bglinsurance.co.uk/careers/more-on-careers/
Bionic,http://www.bionic.co.uk,https://www.bionic.co.uk/careers/
Arrow Global Group,http://www.arrowfletchings.net,
Smith & Williamson,http://www.smithandwilliamson.com,https://www.smithandwilliamson.com/careers/
Misys,http://www.misysinc.com,https://misysinc.com/jobs/
VisionFund International,http://www.visionfund.org,https://www.visionfund.org/careers
BGF,http://www.bgf.co.uk,http://careers.bgf.co.uk
Kuda,http://www.kuda.com,https://www.kuda.com/careers/
LMAX Group,http://www.lmax.com,https://careers.lmax.com/
Luno,http://www.luno.com,https://www.luno.com/en/careers
Actis,http://www.act.is,https://www.act.is/people/careers/
Novuna,http://www.novuna.co.uk,
"FTSE Russell, An LSEG Business",http://www.ftserussell.com,https://www.ftserussell.com/about-us/careers
Moneycorp,http://www.moneycorp.com,https://careers.moneycorp.com/
Wesleyan,http://www.wesleyan.co.uk,https://careers.wesleyan.co.uk/
WorldFirst,http://www.worldfirst.com,https://www.worldfirst.com/uk/careers/
Aviva Investors,http://www.avivainvestors.com,https://careers.avivainvestors.com/
Monex Europe,http://www.monexeurope.com,https://monex.wd3.myworkdayjobs.com/en-US/Careers
Zilch,http://www.zilch.com,https://www.zilch.com/careers/
The London Institute of Banking & Finance,http://www.libf.ac.uk,https://www.libf.ac.uk/study/financial-education/my-financial-career
